;;;;Insgesamt;Innere Medizin;Geriatrie;Kardiologie;Nephrologie;Hämatologie und internistische Onkologie;Endokrinologie;Gastroenterologie;Pneumologie;Rheumatologie;Pädiatrie;Kinderkardiologie;Neonatologie;Kinderchirurgie;Lungen- und Bronchialheilkunde;Allgemeine Chirurgie;Unfallchirurgie;Neurochirurgie;Gefäßchirurgie;Plastische Chirurgie;Thoraxchirurgie;Herzchirurgie;Urologie;Orthopädie;Frauenheilkunde und Geburtshilfe;Geburtshilfe;Hals-, Nasen-, Ohrenheilkunde;Augenheilkunde;Neurologie;Allgemeine Psychiatrie;Kinder- und Jugendpsychiatrie;Psychosomatik/Psychotherapie;Nuklearmedizin;Strahlenheilkunde;Dermatologie;Zahn- und Kieferheilkunde, Mund- und Kieferchirurgie;Intensivmedizin;Sonstige Fachabteilung;Prävention;Entwöhnungsbehandlungen;Med. berufliche Rehabilitation;Neurologie Phase C;Rehabilitation psychisch Kranker (RPK);Nachsorge;Keine Zuordnung zu spezifischem Fachgebiet;Nicht vergebener Fachabteilungsschlüssel
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl,0,0,0.0
31.12.2022;05313;    Aachen, krfr. Stadt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,0,0.0
31.12.2022;05314;    Bonn, krfr. Stadt;2;450;15;45;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;90;-;-;-;-;300;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,0,0.0
31.12.2022;05315;    Köln, krfr. Stadt;3;189;-;42;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;132;-;-;-;-;-;-;-;-;-;-;-;15;-;-;-;-;-,0,0.0
31.12.2022;05316;    Leverkusen, krfr. Stadt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,0,0.0
31.12.2022;05334;    Städteregion Aachen (einschl. Stadt Aachen);3;419;-;-;30;-;-;-;-;-;90;-;-;-;-;-;-;-;-;-;-;-;-;-;219;-;-;-;-;20;-;-;-;-;-;-;-;-;60;-;-;-;-;-;-;-;-,0,0,0.0
31.12.2022;05354;    Aachen, Kreis;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,0,0.0
31.12.2022;05358;    Düren, Kreis;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,0,0.0
31.12.2022;05362;    Rhein-Erft-Kreis;2;381;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;105;-;-;-;-;-;-;-;276;-;-;-;-;-;-,0,0,0.0
31.12.2022;05366;    Euskirchen, Kreis;1;62;-;62;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,0,0.0
31.12.2022;05370;    Heinsberg, Kreis;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,0,0.0
31.12.2022;05374;    Oberbergischer Kreis;4;762;-;-;-;-;46;-;-;25;-;-;-;-;-;-;-;-;-;-;-;-;-;-;406;-;-;-;-;245;-;-;-;-;-;-;-;-;-;-;40;-;-;-;-;-;-,0,0,0.0
31.12.2022;05378;    Rheinisch-Bergischer Kreis;7;570;-;72;240;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;82;-;-;-;-;-;-;-;15;-;-;15;-;-;-;-;66;-;-;80;-;-;-,0,0,0.0
31.12.2022;05382;    Rhein-Sieg-Kreis;4;201;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;90;-;-;-;-;-;-;-;111;-;-;-;-;-;-,0,0,0.0
31.12.2022;055;  Münster, Regierungsbezirk;12;995;-;172;-;-;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;302;-;-;-;-;114;-;-;96;-;-;-;-;-;-;-;110;-;-;101;-;-;-,0,0.0
31.12.2022;05512;    Bottrop, krfr. Stadt;1;39;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;39;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,0,0.0
31.12.2022;05513;    Gelsenkirchen, krfr. Stadt;1;122;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;122;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,0,0.0
31.12.2022;05515;    Münster, krfr. Stadt;2;49;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;49;-;-;-,0,0.0
31.12.2022;05554;    Borken, Kreis;1;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-,0,0.0
31.12.2022;05558;    Coesfeld, Kreis;1;30;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-,0,0.0
31.12.2022;05562;    Recklinghausen, Kreis;1;80;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;80;-;-;-;-;-;-,0,0.0
31.12.2022;05566;    Steinfurt, Kreis;3;324;-;96;-;-;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;96;-;-;-;-;-;-;-;-;-;-;32;-;-;-,0,0.0
31.12.2022;05570;    Warendorf, Kreis;2;331;-;76;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;180;-;-;-;-;75;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,0,0.0
31.12.2022;057;  Detmold, Regierungsbezirk;43;8491;501;244;616;-;633;-;77;256;15;26;-;-;-;182;-;45;-;-;-;-;-;-;2738;-;-;87;-;1224;166;-;1396;-;-;-;-;-;148;-;50;40;-;47;-;-;-,0,0.0
31.12.2022;05711;    Bielefeld, krfr. Stadt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,0,0.0
31.12.2022;05754;    Gütersloh, Kreis;2;166;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;166;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,0,0.0
31.12.2022;05758;    Herford, Kreis;4;681;-;20;-;-;-;-;-;-;15;-;-;-;-;-;-;-;-;-;-;-;-;-;361;-;-;-;-;-;-;-;181;-;-;-;-;-;82;-;-;-;-;22;-;-;-,0,0.0
31.12.2022;05762;    Höxter, Kreis;9;1812;161;64;291;-;60;-;77;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;503;-;-;-;-;394;-;-;172;-;-;-;-;-;-;-;50;40;-;-;-;-;-,0,0.0
31.12.2022;05766;    Lippe, Kreis;8;1958;115;70;-;-;113;-;-;200;-;-;-;-;-;-;-;45;-;-;-;-;-;-;650;-;-;60;-;165;-;-;540;-;-;-;-;-;-;-;-;-;-;-;-;-;-,0,0.0
31.12.2022;05770;    Minden-Lübbecke, Kreis;12;2771;150;90;265;-;284;-;-;-;-;26;-;-;-;-;-;-;-;-;-;-;-;-;1055;-;-;27;-;475;-;-;374;-;-;-;-;-;-;-;-;-;-;25;-;-;-,0,0.0
31.12.2022;05774;    Paderborn, Kreis;8;1103;75;-;60;-;176;-;-;56;-;-;-;-;-;182;-;-;-;-;-;-;-;-;169;-;-;-;-;190;-;-;129;-;-;-;-;-;66;-;-;-;-;-;-;-;-,0,0.0
31.12.2022;059;  Arnsberg, Regierungsbezirk;38;5258;141;182;271;-;-;-;-;-;-;-;-;-;-;75;-;-;-;-;-;-;-;-;1661;-;-;58;-;1043;229;-;693;-;-;-;-;-;-;170;512;-;-;113;-;110;-,0,0.0
31.12.2022;05911;    Bochum, krfr. Stadt;3;160;-;100;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;40;-;-;20;-;-;-,0,0.0
31.12.2022;05913;    Dortmund, krfr. Stadt;4;276;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;65;-;-;-;-;130;30;-;-;-;-;-;-;-;-;-;24;-;-;27;-;-;-,0,0.0
31.12.2022;05914;    Hagen, krfr. Stadt;2;308;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;272;-;-;-;-;-;-;-;-;-;-;36;-;-;-;-;-;-,0,0.0
31.12.2022;05915;    Hamm, krfr. Stadt;1;20;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;20;-;-;-,0,0.0
31.12.2022;05916;    Herne, krfr. Stadt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,0,0.0
31.12.2022;05954;    Ennepe-Ruhr-Kreis;2;463;-;-;126;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;67;-;-;-;-;270;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,0,0,0.0
31.12.2022;05958;    Hochsauerlandkreis;5;743;-;-;-;-;-;-;-;-;-;-;-;-;-;75;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;256;-;-;-;-;-;-;-;412;-;-;-;-;-;-,0,0,0.0
31.12.2022;05962;    Märkischer Kreis;2;215;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;45;-;-;-;-;-;-;170;-;-;-;-;-;-;-,0,0,0.0
31.12.2022;05966;    Olpe, Kreis;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,0,0.0
31.12.2022;05970;    Siegen-Wittgenstein, Kreis;4;729;71;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;63;-;-;58;-;371;-;-;141;-;-;-;-;-;-;-;-;-;-;25;-;-;-,0,0.0
31.12.2022;05974;    Soest, Kreis;14;2321;70;82;145;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1466;-;-;-;-;-;176;-;251;-;-;-;-;-;-;-;-;-;-;21;-;110;-,0,0.0
31.12.2022;05978;    Unna, Kreis;1;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;23;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,0,0.0
31.12.2021;05;Nordrhein-Westfalen;134;19927;662;1032;1397;-;1082;-;77;261;187;86;-;-;-;259;-;65;-;-;-;-;-;-;5539;-;-;145;-;3571;443;-;2754;-;-;15;-;-;222;190;1434;55;-;341;-;110;-,0,0,0.0
31.12.2021;051;  Düsseldorf, Regierungsbezirk;14;2169;-;217;250;-;300;-;-;-;-;59;-;-;-;-;-;-;-;-;-;-;-;-;219;-;-;-;-;502;48;-;280;-;-;-;-;-;-;-;294;-;-;-;-;-;-,0,0.0
31.12.2021;05111;    Düsseldorf, krfr. Stadt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,0,0.0
31.12.2021;05112;    Duisburg, krfr. Stadt;2;179;-;131;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;48;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,0,0.0
31.12.2021;05113;    Essen, krfr. Stadt;2;520;-;45;70;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;120;-;-;-;-;220;-;-;-;-;-;-;-;-;-;-;65;-;-;-;-;-;-,0,0.0
31.12.2021;05114;    Krefeld, krfr. Stadt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,0,0.0
31.12.2021;05116;    Mönchengladbach, krfr. Stadt;1;180;-;-;180;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,0,0.0
31.12.2021;05117;    Mülheim an der Ruhr, krfr. Stadt;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-,0,0.0
