GENESIS-Tabelle: 23111-01d
Anzahl der Krankenhäuser und aufgestellte Betten nach Art;;;;;;;;;;
der Träger - kreisfreie Städte und Kreise - Stichtag;;;;;;;;;;
Grunddaten der Krankenhäuser;;;;;;;;;;
;;;Träger;Träger;Träger;Träger;Träger;Träger;Träger;Träger
;;;Insgesamt;Insgesamt;Öffentliche Träger;Öffentliche Träger;Private Träger;Private Träger;Freigemeinnützige Träger;Freigemeinnützige Träger
;;;Krankenhäuser;Aufgestellte Betten in Krankenhäusern (Jahresdurchschnitt);Krankenhäuser;Aufgestellte Betten in Krankenhäusern (Jahresdurchschnitt);Krankenhäuser;Aufgestellte Betten in Krankenhäusern (Jahresdurchschnitt);Krankenhäuser;Aufgestellte Betten in Krankenhäusern (Jahresdurchschnitt)
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
31.12.2018;05334;    Städteregion Aachen (einschl. Stadt Aachen);9;3903;2;2072;1;125;6;1706
31.12.2018;05354;    Aachen, Kreis;-;-;-;-;-;-;-;-
31.12.2018;05358;    Düren, Kreis;6;1922;2;980;-;-;4;942
31.12.2018;05362;    Rhein-Erft-Kreis;8;1455;-;-;2;187;6;1268
31.12.2018;05366;    Euskirchen, Kreis;3;1123;1;513;-;-;2;610
31.12.2018;05370;    Heinsberg, Kreis;4;970;1;187;-;-;3;783
31.12.2018;05374;    Oberbergischer Kreis;6;1602;1;963;3;234;2;405
31.12.2018;05378;    Rheinisch-Bergischer Kreis;4;1169;2;265;-;-;2;904
31.12.2018;05382;    Rhein-Sieg-Kreis;6;1251;-;-;2;508;4;743
31.12.2018;055;  Münster, Regierungsbezirk;52;17516;7;3467;1;-;44;14049
31.12.2018;05512;    Bottrop, krfr. Stadt;2;734;-;-;-;-;2;734
31.12.2018;05513;    Gelsenkirchen, krfr. Stadt;5;1885;1;380;-;-;4;1505
31.12.2018;05515;    Münster, krfr. Stadt;9;3750;2;1666;-;-;7;2084
31.12.2018;05554;    Borken, Kreis;7;2026;-;-;-;-;7;2026
31.12.2018;05558;    Coesfeld, Kreis;3;893;-;-;-;-;3;893
31.12.2018;05562;    Recklinghausen, Kreis;12;4695;3;1065;-;-;9;3630
31.12.2018;05566;    Steinfurt, Kreis;8;2128;1;356;-;-;7;1772
31.12.2018;05570;    Warendorf, Kreis;6;1405;-;-;1;-;5;1405
31.12.2018;057;  Detmold, Regierungsbezirk;32;12794;12;6478;8;478;12;5838
31.12.2018;05711;    Bielefeld, krfr. Stadt;5;3707;1;1627;1;13;3;2067
31.12.2018;05754;    Gütersloh, Kreis;3;1341;2;745;-;-;1;596
31.12.2018;05758;    Herford, Kreis;3;1142;1;798;-;-;2;344
31.12.2018;05762;    Höxter, Kreis;2;1031;-;-;1;139;1;892
31.12.2018;05766;    Lippe, Kreis;6;1407;2;1206;4;201;-;-
31.12.2018;05770;    Minden-Lübbecke, Kreis;8;2320;4;1678;2;125;2;517
31.12.2018;05774;    Paderborn, Kreis;5;1846;2;424;-;-;3;1422
31.12.2018;059;  Arnsberg, Regierungsbezirk;85;26823;23;8576;8;1285;54;16962
31.12.2018;05911;    Bochum, krfr. Stadt;7;3305;3;1209;1;160;3;1936
31.12.2018;05913;    Dortmund, krfr. Stadt;11;3834;5;2217;-;-;6;1617
31.12.2018;05914;    Hagen, krfr. Stadt;4;1620;-;-;1;80;3;1540
31.12.2018;05915;    Hamm, krfr. Stadt;5;1769;1;110;-;-;4;1659
31.12.2018;05916;    Herne, krfr. Stadt;5;1673;-;-;-;-;5;1673
31.12.2018;05954;    Ennepe-Ruhr-Kreis;7;1895;-;-;1;401;6;1494
31.12.2018;05958;    Hochsauerlandkreis;10;2081;4;1327;1;54;5;700
31.12.2018;05962;    Märkischer Kreis;11;2856;5;1597;2;162;4;1097
31.12.2018;05966;    Olpe, Kreis;2;847;-;-;1;301;1;546
31.12.2018;05970;    Siegen-Wittgenstein, Kreis;6;2185;1;585;1;127;4;1473
31.12.2018;05974;    Soest, Kreis;9;2096;3;736;-;-;6;1360
31.12.2018;05978;    Unna, Kreis;8;2662;1;795;-;-;7;1867
31.12.2017;05;Nordrhein-Westfalen;344;118506;78;36722;38;9245;228;72539
31.12.2017;051;  Düsseldorf, Regierungsbezirk;96;35930;18;7617;15;6349;63;21964
31.12.2017;05111;    Düsseldorf, krfr. Stadt;13;5017;2;1661;4;815;7;2541
31.12.2017;05112;    Duisburg, krfr. Stadt;8;4634;1;324;2;1686;5;2624
31.12.2017;05113;    Essen, krfr. Stadt;12;5681;3;1746;1;18;8;3917
31.12.2017;05114;    Krefeld, krfr. Stadt;4;2078;-;-;1;1171;3;907
31.12.2017;05116;    Mönchengladbach, krfr. Stadt;5;2131;2;717;-;-;3;1414
31.12.2017;05117;    Mülheim an der Ruhr, krfr. Stadt;2;932;-;-;-;-;2;932
31.12.2017;05119;    Oberhausen, krfr. Stadt;3;1456;-;-;1;203;2;1253
31.12.2017;05120;    Remscheid, krfr. Stadt;3;1020;-;-;1;460;2;560
31.12.2017;05122;    Solingen, krfr. Stadt;4;1046;1;631;-;-;3;415
31.12.2017;05124;    Wuppertal, krfr. Stadt;3;2070;-;-;1;1090;2;980
31.12.2017;05154;    Kleve, Kreis;7;1689;1;305;-;-;6;1384
31.12.2017;05158;    Mettmann, Kreis;11;2240;1;394;3;650;7;1196
31.12.2017;05162;    Rhein-Kreis Neuss;7;1983;3;1147;-;-;4;836
31.12.2017;05166;    Viersen, Kreis;7;1413;4;692;1;256;2;465
31.12.2017;05170;    Wesel, Kreis;7;2540;-;-;-;-;7;2540
31.12.2017;053;  Köln, Regierungsbezirk;79;25594;18;11125;8;1143;53;13326
31.12.2017;05313;    Aachen, krfr. Stadt;-;-;-;-;-;-;-;-
31.12.2017;05314;    Bonn, krfr. Stadt;9;4149;2;1966;2;110;5;2073
31.12.2017;05315;    Köln, krfr. Stadt;22;7083;6;3650;-;-;16;3433
31.12.2017;05316;    Leverkusen, krfr. Stadt;2;1086;1;740;-;-;1;346
31.12.2017;05334;    Städteregion Aachen (einschl. Stadt Aachen);9;3842;2;2005;1;125;6;1712
31.12.2017;05354;    Aachen, Kreis;-;-;-;-;-;-;-;-
31.12.2017;05358;    Düren, Kreis;6;1783;2;855;-;-;4;928
31.12.2017;05362;    Rhein-Erft-Kreis;8;1433;-;-;2;174;6;1259
31.12.2017;05366;    Euskirchen, Kreis;3;1101;1;513;-;-;2;588
31.12.2017;05370;    Heinsberg, Kreis;4;952;1;187;-;-;3;765
31.12.2017;05374;    Oberbergischer Kreis;4;1559;1;962;1;194;2;403
31.12.2017;05378;    Rheinisch-Bergischer Kreis;5;1151;2;247;-;-;3;904
31.12.2017;05382;    Rhein-Sieg-Kreis;7;1455;-;-;2;540;5;915
31.12.2017;055;  Münster, Regierungsbezirk;52;17205;7;3424;2;118;43;13663
31.12.2017;05512;    Bottrop, krfr. Stadt;2;704;-;-;-;-;2;704
31.12.2017;05513;    Gelsenkirchen, krfr. Stadt;5;1775;1;318;-;-;4;1457
31.12.2017;05515;    Münster, krfr. Stadt;9;3730;2;1693;-;-;7;2037
31.12.2017;05554;    Borken, Kreis;7;1876;-;-;-;-;7;1876
31.12.2017;05558;    Coesfeld, Kreis;3;856;-;-;-;-;3;856
31.12.2017;05562;    Recklinghausen, Kreis;12;4886;3;1057;-;-;9;3829
31.12.2017;05566;    Steinfurt, Kreis;8;2033;1;356;1;118;6;1559
31.12.2017;05570;    Warendorf, Kreis;6;1345;-;-;1;-;5;1345
31.12.2017;057;  Detmold, Regierungsbezirk;32;13067;12;6002;6;479;14;6586
31.12.2017;05711;    Bielefeld, krfr. Stadt;7;3974;1;1112;1;13;5;2849
31.12.2017;05754;    Gütersloh, Kreis;3;1421;2;812;-;-;1;609
31.12.2017;05758;    Herford, Kreis;3;1092;1;717;-;-;2;375
31.12.2017;05762;    Höxter, Kreis;2;1057;-;-;1;153;1;904
31.12.2017;05766;    Lippe, Kreis;4;1403;2;1215;2;188;-;-
31.12.2017;05770;    Minden-Lübbecke, Kreis;8;2373;4;1730;2;125;2;518
31.12.2017;05774;    Paderborn, Kreis;5;1747;2;416;-;-;3;1331
31.12.2017;059;  Arnsberg, Regierungsbezirk;85;26710;23;8554;7;1156;55;17000
31.12.2017;05911;    Bochum, krfr. Stadt;7;3403;3;1179;1;161;3;2063
31.12.2017;05913;    Dortmund, krfr. Stadt;11;3921;5;2307;-;-;6;1614
31.12.2017;05914;    Hagen, krfr. Stadt;4;1589;-;-;1;80;3;1509
31.12.2017;05915;    Hamm, krfr. Stadt;5;1789;1;110;-;-;4;1679
31.12.2017;05916;    Herne, krfr. Stadt;5;1656;-;-;-;-;5;1656
31.12.2017;05954;    Ennepe-Ruhr-Kreis;7;1906;-;-;1;401;6;1505
31.12.2017;05958;    Hochsauerlandkreis;10;2087;4;1312;1;54;5;721
31.12.2017;05962;    Märkischer Kreis;11;2848;5;1542;2;162;4;1144
31.12.2017;05966;    Olpe, Kreis;2;844;-;-;1;298;1;546
31.12.2017;05970;    Siegen-Wittgenstein, Kreis;5;1988;1;585;-;-;4;1403
31.12.2017;05974;    Soest, Kreis;9;2027;3;724;-;-;6;1303
31.12.2017;05978;    Unna, Kreis;9;2652;1;795;-;-;8;1857
31.12.2016;05;Nordrhein-Westfalen;348;119645;78;36859;40;9637;230;73149
31.12.2016;051;  Düsseldorf, Regierungsbezirk;96;36106;18;7604;15;6506;63;21996
31.12.2016;05111;    Düsseldorf, krfr. Stadt;13;5105;2;1655;4;989;7;2461
31.12.2016;05112;    Duisburg, krfr. Stadt;8;4628;1;320;2;1686;5;2622
31.12.2016;05113;    Essen, krfr. Stadt;12;5640;3;1705;1;18;8;3917
31.12.2016;05114;    Krefeld, krfr. Stadt;4;2091;-;-;1;1184;3;907
31.12.2016;05116;    Mönchengladbach, krfr. Stadt;5;2135;2;656;-;-;3;1479
31.12.2016;05117;    Mülheim an der Ruhr, krfr. Stadt;2;903;-;-;-;-;2;903
31.12.2016;05119;    Oberhausen, krfr. Stadt;3;1474;-;-;1;203;2;1271
31.12.2016;05120;    Remscheid, krfr. Stadt;3;1020;-;-;1;460;2;560
31.12.2016;05122;    Solingen, krfr. Stadt;4;1051;1;629;-;-;3;422
31.12.2016;05124;    Wuppertal, krfr. Stadt;3;2018;-;-;1;1058;2;960
31.12.2016;05154;    Kleve, Kreis;7;1795;1;305;-;-;6;1490
31.12.2016;05158;    Mettmann, Kreis;11;2252;1;394;3;655;7;1203
31.12.2016;05162;    Rhein-Kreis Neuss;7;2048;3;1222;-;-;4;826
31.12.2016;05166;    Viersen, Kreis;7;1436;4;718;1;253;2;465
31.12.2016;05170;    Wesel, Kreis;7;2510;-;-;-;-;7;2510
31.12.2016;053;  Köln, Regierungsbezirk;80;25851;18;11175;9;1214;53;13462
31.12.2016;05313;    Aachen, krfr. Stadt;-;-;-;-;-;-;-;-
31.12.2016;05314;    Bonn, krfr. Stadt;9;4117;2;1908;2;110;5;2099
31.12.2016;05315;    Köln, krfr. Stadt;22;7157;6;3663;-;-;16;3494
31.12.2016;05316;    Leverkusen, krfr. Stadt;2;1081;1;735;-;-;1;346
31.12.2016;05334;    Städteregion Aachen (einschl. Stadt Aachen);9;4039;2;2143;1;99;6;1797
31.12.2016;05354;    Aachen, Kreis;-;-;-;-;-;-;-;-
31.12.2016;05358;    Düren, Kreis;6;1790;2;855;-;-;4;935
31.12.2016;05362;    Rhein-Erft-Kreis;8;1433;-;-;2;174;6;1259
31.12.2016;05366;    Euskirchen, Kreis;3;1061;1;473;-;-;2;588
31.12.2016;05370;    Heinsberg, Kreis;5;1025;1;205;1;93;3;727
31.12.2016;05374;    Oberbergischer Kreis;4;1516;1;929;1;194;2;393
31.12.2016;05378;    Rheinisch-Bergischer Kreis;5;1179;2;264;-;-;3;915
31.12.2016;05382;    Rhein-Sieg-Kreis;7;1453;-;-;2;544;5;909
31.12.2016;055;  Münster, Regierungsbezirk;52;17316;7;3433;2;157;43;13726
31.12.2016;05512;    Bottrop, krfr. Stadt;2;704;-;-;-;-;2;704
31.12.2016;05513;    Gelsenkirchen, krfr. Stadt;5;1775;1;318;-;-;4;1457
31.12.2016;05515;    Münster, krfr. Stadt;9;3739;2;1702;-;-;7;2037
31.12.2016;05554;    Borken, Kreis;7;1876;-;-;-;-;7;1876
31.12.2016;05558;    Coesfeld, Kreis;3;856;-;-;-;-;3;856
31.12.2016;05562;    Recklinghausen, Kreis;12;4928;3;1057;-;-;9;3871
31.12.2016;05566;    Steinfurt, Kreis;8;2093;1;356;1;157;6;1580
31.12.2016;05570;    Warendorf, Kreis;6;1345;-;-;1;-;5;1345
31.12.2016;057;  Detmold, Regierungsbezirk;32;13307;12;6216;6;477;14;6614
31.12.2016;05711;    Bielefeld, krfr. Stadt;7;3976;1;1114;1;13;5;2849
31.12.2016;05754;    Gütersloh, Kreis;3;1421;2;812;-;-;1;609
31.12.2016;05758;    Herford, Kreis;3;1092;1;717;-;-;2;375
31.12.2016;05762;    Höxter, Kreis;2;1065;-;-;1;153;1;912
31.12.2016;05766;    Lippe, Kreis;4;1627;2;1441;2;186;-;-
31.12.2016;05770;    Minden-Lübbecke, Kreis;8;2359;4;1716;2;125;2;518
31.12.2016;05774;    Paderborn, Kreis;5;1767;2;416;-;-;3;1351
31.12.2016;059;  Arnsberg, Regierungsbezirk;88;27065;23;8431;8;1283;57;17351
31.12.2016;05911;    Bochum, krfr. Stadt;7;3524;3;1280;1;161;3;2083
31.12.2016;05913;    Dortmund, krfr. Stadt;11;3911;5;2307;-;-;6;1604
31.12.2016;05914;    Hagen, krfr. Stadt;5;1690;-;-;1;80;4;1610
31.12.2016;05915;    Hamm, krfr. Stadt;5;1784;1;110;-;-;4;1674
31.12.2016;05916;    Herne, krfr. Stadt;5;1615;-;-;-;-;5;1615
31.12.2016;05954;    Ennepe-Ruhr-Kreis;7;1899;-;-;1;401;6;1498
31.12.2016;05958;    Hochsauerlandkreis;11;2099;4;1088;1;54;6;957
31.12.2016;05962;    Märkischer Kreis;11;2869;5;1542;2;162;4;1165
31.12.2016;05966;    Olpe, Kreis;2;844;-;-;1;298;1;546
31.12.2016;05970;    Siegen-Wittgenstein, Kreis;6;2115;1;585;1;127;4;1403
31.12.2016;05974;    Soest, Kreis;9;2053;3;724;-;-;6;1329
31.12.2016;05978;    Unna, Kreis;9;2662;1;795;-;-;8;1867
31.12.2015;05;Nordrhein-Westfalen;352;119900;79;37340;38;8785;235;73775
31.12.2015;051;  Düsseldorf, Regierungsbezirk;98;36459;19;8167;12;5653;67;22639
31.12.2015;05111;    Düsseldorf, krfr. Stadt;14;5080;2;1636;3;786;9;2658
31.12.2015;05112;    Duisburg, krfr. Stadt;8;4607;1;320;2;1665;5;2622
31.12.2015;05113;    Essen, krfr. Stadt;13;5619;3;1686;1;18;9;3915
31.12.2015;05114;    Krefeld, krfr. Stadt;4;2093;-;-;1;1186;3;907
31.12.2015;05116;    Mönchengladbach, krfr. Stadt;5;2164;2;685;-;-;3;1479
31.12.2015;05117;    Mülheim an der Ruhr, krfr. Stadt;2;911;-;-;-;-;2;911
31.12.2015;05119;    Oberhausen, krfr. Stadt;3;1507;-;-;1;203;2;1304
31.12.2015;05120;    Remscheid, krfr. Stadt;3;1020;-;-;1;460;2;560
31.12.2015;05122;    Solingen, krfr. Stadt;4;1145;1;698;-;-;3;447
31.12.2015;05124;    Wuppertal, krfr. Stadt;3;2124;-;-;1;1034;2;1090
31.12.2015;05154;    Kleve, Kreis;7;1795;1;305;-;-;6;1490
31.12.2015;05158;    Mettmann, Kreis;11;2379;2;897;1;48;8;1434
31.12.2015;05162;    Rhein-Kreis Neuss;7;2065;3;1222;-;-;4;843
31.12.2015;05166;    Viersen, Kreis;7;1440;4;718;1;253;2;469
31.12.2015;05170;    Wesel, Kreis;7;2510;-;-;-;-;7;2510
31.12.2015;053;  Köln, Regierungsbezirk;82;26047;18;11152;9;1231;55;13664
31.12.2015;05313;    Aachen, krfr. Stadt;-;-;-;-;-;-;-;-
31.12.2015;05314;    Bonn, krfr. Stadt;9;4112;2;1903;2;110;5;2099
31.12.2015;05315;    Köln, krfr. Stadt;22;7313;6;3666;-;-;16;3647
31.12.2015;05316;    Leverkusen, krfr. Stadt;2;1095;1;735;-;-;1;360
31.12.2015;05334;    Städteregion Aachen (einschl. Stadt Aachen);9;3998;2;2141;1;99;6;1758
31.12.2015;05354;    Aachen, Kreis;-;-;-;-;-;-;-;-
31.12.2015;05358;    Düren, Kreis;6;1804;2;869;-;-;4;935
31.12.2015;05362;    Rhein-Erft-Kreis;8;1427;-;-;2;169;6;1258
31.12.2015;05366;    Euskirchen, Kreis;4;1096;1;403;-;-;3;693
31.12.2015;05370;    Heinsberg, Kreis;5;1005;1;205;1;93;3;707
31.12.2015;05374;    Oberbergischer Kreis;4;1557;1;970;1;194;2;393
31.12.2015;05378;    Rheinisch-Bergischer Kreis;5;1172;2;260;-;-;3;912
31.12.2015;05382;    Rhein-Sieg-Kreis;8;1468;-;-;2;566;6;902
31.12.2015;055;  Münster, Regierungsbezirk;51;17050;7;3377;2;143;42;13530
31.12.2015;05512;    Bottrop, krfr. Stadt;2;704;-;-;-;-;2;704
31.12.2015;05513;    Gelsenkirchen, krfr. Stadt;5;1752;1;318;-;-;4;1434
31.12.2015;05515;    Münster, krfr. Stadt;9;3688;2;1646;-;-;7;2042
31.12.2015;05554;    Borken, Kreis;7;1876;-;-;-;-;7;1876
31.12.2015;05558;    Coesfeld, Kreis;3;856;-;-;-;-;3;856
31.12.2015;05562;    Recklinghausen, Kreis;12;4928;3;1057;-;-;9;3871
31.12.2015;05566;    Steinfurt, Kreis;7;1901;1;356;1;143;5;1402
31.12.2015;05570;    Warendorf, Kreis;6;1345;-;-;1;-;5;1345
31.12.2015;057;  Detmold, Regierungsbezirk;33;13295;12;6188;7;487;14;6620
31.12.2015;05711;    Bielefeld, krfr. Stadt;7;3974;1;1112;1;13;5;2849
31.12.2015;05754;    Gütersloh, Kreis;3;1421;2;812;-;-;1;609
31.12.2015;05758;    Herford, Kreis;3;1084;1;709;-;-;2;375
31.12.2015;05762;    Höxter, Kreis;2;1065;-;-;1;153;1;912
31.12.2015;05766;    Lippe, Kreis;4;1614;2;1428;2;186;-;-
31.12.2015;05770;    Minden-Lübbecke, Kreis;9;2370;4;1711;3;135;2;524
31.12.2015;05774;    Paderborn, Kreis;5;1767;2;416;-;-;3;1351
31.12.2015;059;  Arnsberg, Regierungsbezirk;88;27049;23;8456;8;1271;57;17322
31.12.2015;05911;    Bochum, krfr. Stadt;7;3566;3;1319;1;161;3;2086
31.12.2015;05913;    Dortmund, krfr. Stadt;11;3883;5;2270;-;-;6;1613
31.12.2015;05914;    Hagen, krfr. Stadt;5;1723;-;-;1;80;4;1643
31.12.2015;05915;    Hamm, krfr. Stadt;5;1739;1;110;-;-;4;1629
31.12.2015;05916;    Herne, krfr. Stadt;5;1615;-;-;-;-;5;1615
31.12.2015;05954;    Ennepe-Ruhr-Kreis;7;1895;-;-;1;401;6;1494
31.12.2015;05958;    Hochsauerlandkreis;11;2099;4;1088;1;54;6;957
31.12.2015;05962;    Märkischer Kreis;11;2852;5;1542;2;162;4;1148
31.12.2015;05966;    Olpe, Kreis;2;832;-;-;1;286;1;546
31.12.2015;05970;    Siegen-Wittgenstein, Kreis;6;2115;1;585;1;127;4;1403
31.12.2015;05974;    Soest, Kreis;9;2045;3;724;-;-;6;1321
31.12.2015;05978;    Unna, Kreis;9;2685;1;818;-;-;8;1867
31.12.2014;05;Nordrhein-Westfalen;364;120268;80;38052;40;8134;244;74082
31.12.2014;051;  Düsseldorf, Regierungsbezirk;99;36261;20;8752;11;4905;68;22604
31.12.2014;05111;    Düsseldorf, krfr. Stadt;14;5129;2;1647;3;786;9;2696
31.12.2014;05112;    Duisburg, krfr. Stadt;8;4522;2;892;1;1008;5;2622
31.12.2014;05113;    Essen, krfr. Stadt;13;5629;3;1696;1;18;9;3915
31.12.2014;05114;    Krefeld, krfr. Stadt;4;2015;-;-;1;1138;3;877
31.12.2014;05116;    Mönchengladbach, krfr. Stadt;5;2174;2;695;-;-;3;1479
31.12.2014;05117;    Mülheim an der Ruhr, krfr. Stadt;2;900;-;-;-;-;2;900
31.12.2014;05119;    Oberhausen, krfr. Stadt;4;1460;-;-;1;203;3;1257
31.12.2014;05120;    Remscheid, krfr. Stadt;3;1047;-;-;1;502;2;545
31.12.2014;05122;    Solingen, krfr. Stadt;4;1145;1;698;-;-;3;447
31.12.2014;05124;    Wuppertal, krfr. Stadt;3;2070;-;-;1;961;2;1109
31.12.2014;05154;    Kleve, Kreis;7;1795;1;305;-;-;6;1490
31.12.2014;05158;    Mettmann, Kreis;11;2379;2;897;1;48;8;1434
31.12.2014;05162;    Rhein-Kreis Neuss;7;2058;3;1204;-;-;4;854
31.12.2014;05166;    Viersen, Kreis;7;1428;4;718;1;241;2;469
31.12.2014;05170;    Wesel, Kreis;7;2510;-;-;-;-;7;2510
31.12.2014;053;  Köln, Regierungsbezirk;85;26114;18;11181;11;1297;56;13636
31.12.2014;05313;    Aachen, krfr. Stadt;-;-;-;-;-;-;-;-
31.12.2014;05314;    Bonn, krfr. Stadt;9;4116;2;1907;2;110;5;2099
31.12.2014;05315;    Köln, krfr. Stadt;22;7311;6;3708;-;-;16;3603
31.12.2014;05316;    Leverkusen, krfr. Stadt;2;1095;1;735;-;-;1;360
31.12.2014;05334;    Städteregion Aachen (einschl. Stadt Aachen);10;4026;2;2121;2;147;6;1758
31.12.2014;05354;    Aachen, Kreis;-;-;-;-;-;-;-;-
31.12.2014;05358;    Düren, Kreis;7;1822;2;869;1;18;4;935
31.12.2014;05362;    Rhein-Erft-Kreis;8;1394;-;-;2;169;6;1225
31.12.2014;05366;    Euskirchen, Kreis;4;1094;1;403;-;-;3;691
31.12.2014;05370;    Heinsberg, Kreis;5;995;1;205;1;93;3;697
31.12.2014;05374;    Oberbergischer Kreis;4;1571;1;973;1;194;2;404
31.12.2014;05378;    Rheinisch-Bergischer Kreis;5;1172;2;260;-;-;3;912
31.12.2014;05382;    Rhein-Sieg-Kreis;9;1518;-;-;2;566;7;952
31.12.2014;055;  Münster, Regierungsbezirk;55;17708;8;3766;3;183;44;13759
31.12.2014;05512;    Bottrop, krfr. Stadt;2;704;1;346;-;-;1;358
31.12.2014;05513;    Gelsenkirchen, krfr. Stadt;5;1752;1;318;-;-;4;1434
31.12.2014;05515;    Münster, krfr. Stadt;9;3716;2;1684;-;-;7;2032
31.12.2014;05554;    Borken, Kreis;8;1916;-;-;1;40;7;1876
31.12.2014;05558;    Coesfeld, Kreis;3;856;-;-;-;-;3;856
31.12.2014;05562;    Recklinghausen, Kreis;12;4946;3;1062;-;-;9;3884
31.12.2014;05566;    Steinfurt, Kreis;9;2288;1;356;1;143;7;1789
31.12.2014;05570;    Warendorf, Kreis;7;1530;-;-;1;-;6;1530
31.12.2014;057;  Detmold, Regierungsbezirk;35;12995;12;6186;7;487;16;6322
31.12.2014;05711;    Bielefeld, krfr. Stadt;7;3966;1;1104;1;13;5;2849
31.12.2014;05754;    Gütersloh, Kreis;3;1236;2;812;-;-;1;424
31.12.2014;05758;    Herford, Kreis;3;1100;1;692;-;-;2;408
31.12.2014;05762;    Höxter, Kreis;2;924;-;-;1;153;1;771
31.12.2014;05766;    Lippe, Kreis;5;1631;2;1445;2;186;1;-
31.12.2014;05770;    Minden-Lübbecke, Kreis;9;2371;4;1717;3;135;2;519
31.12.2014;05774;    Paderborn, Kreis;6;1767;2;416;-;-;4;1351
31.12.2014;059;  Arnsberg, Regierungsbezirk;90;27190;22;8167;8;1262;60;17761
31.12.2014;05911;    Bochum, krfr. Stadt;8;3562;3;1331;1;161;4;2070
31.12.2014;05913;    Dortmund, krfr. Stadt;11;3928;4;1968;-;-;7;1960
31.12.2014;05914;    Hagen, krfr. Stadt;5;1732;-;-;1;80;4;1652
31.12.2014;05915;    Hamm, krfr. Stadt;5;1753;1;110;-;-;4;1643
31.12.2014;05916;    Herne, krfr. Stadt;5;1625;-;-;-;-;5;1625
31.12.2014;05954;    Ennepe-Ruhr-Kreis;7;1894;-;-;1;401;6;1493
31.12.2014;05958;    Hochsauerlandkreis;11;2095;4;1088;1;54;6;953
31.12.2014;05962;    Märkischer Kreis;12;2931;5;1543;2;153;5;1235
31.12.2014;05966;    Olpe, Kreis;2;832;-;-;1;286;1;546
31.12.2014;05970;    Siegen-Wittgenstein, Kreis;6;2109;1;585;1;127;4;1397
31.12.2014;05974;    Soest, Kreis;9;2044;3;724;-;-;6;1320
31.12.2014;05978;    Unna, Kreis;9;2685;1;818;-;-;8;1867
31.12.2013;05;Nordrhein-Westfalen;370;120247;81;37707;42;8095;247;74445
31.12.2013;051;  Düsseldorf, Regierungsbezirk;101;36371;20;8676;11;4811;70;22884
31.12.2013;05111;    Düsseldorf, krfr. Stadt;14;5155;2;1663;3;798;9;2694
31.12.2013;05112;    Duisburg, krfr. Stadt;8;4422;2;898;1;863;5;2661
31.12.2013;05113;    Essen, krfr. Stadt;13;5602;3;1648;1;18;9;3936
31.12.2013;05114;    Krefeld, krfr. Stadt;4;2032;-;-;1;1155;3;877
31.12.2013;05116;    Mönchengladbach, krfr. Stadt;5;2143;2;664;-;-;3;1479
31.12.2013;05117;    Mülheim an der Ruhr, krfr. Stadt;2;851;-;-;-;-;2;851
31.12.2013;05119;    Oberhausen, krfr. Stadt;4;1494;-;-;1;203;3;1291
31.12.2013;05120;    Remscheid, krfr. Stadt;3;990;-;-;1;521;2;469
31.12.2013;05122;    Solingen, krfr. Stadt;4;1145;1;698;-;-;3;447
31.12.2013;05124;    Wuppertal, krfr. Stadt;3;2107;-;-;1;961;2;1146
31.12.2013;05154;    Kleve, Kreis;7;1795;1;305;-;-;6;1490
31.12.2013;05158;    Mettmann, Kreis;12;2455;2;897;1;48;9;1510
31.12.2013;05162;    Rhein-Kreis Neuss;7;2036;3;1185;-;-;4;851
31.12.2013;05166;    Viersen, Kreis;8;1639;4;718;1;244;3;677
31.12.2013;05170;    Wesel, Kreis;7;2505;-;-;-;-;7;2505
31.12.2013;053;  Köln, Regierungsbezirk;86;25990;18;11045;12;1343;56;13602
31.12.2013;05313;    Aachen, krfr. Stadt;-;-;-;-;-;-;-;-
31.12.2013;05314;    Bonn, krfr. Stadt;9;4116;2;1907;2;110;5;2099
31.12.2013;05315;    Köln, krfr. Stadt;23;7322;6;3691;1;65;16;3566
31.12.2013;05316;    Leverkusen, krfr. Stadt;2;1095;1;735;-;-;1;360
31.12.2013;05334;    Städteregion Aachen (einschl. Stadt Aachen);10;3880;2;1975;2;147;6;1758
31.12.2013;05354;    Aachen, Kreis;-;-;-;-;-;-;-;-
31.12.2013;05358;    Düren, Kreis;7;1872;2;897;1;18;4;957
31.12.2013;05362;    Rhein-Erft-Kreis;8;1375;-;-;2;150;6;1225
31.12.2013;05366;    Euskirchen, Kreis;4;1094;1;403;-;-;3;691
31.12.2013;05370;    Heinsberg, Kreis;5;992;1;205;1;93;3;694
31.12.2013;05374;    Oberbergischer Kreis;4;1548;1;972;1;194;2;382
31.12.2013;05378;    Rheinisch-Bergischer Kreis;5;1172;2;260;-;-;3;912
31.12.2013;05382;    Rhein-Sieg-Kreis;9;1524;-;-;2;566;7;958
31.12.2013;055;  Münster, Regierungsbezirk;55;17774;8;3823;3;183;44;13768
31.12.2013;05512;    Bottrop, krfr. Stadt;2;704;1;346;-;-;1;358
31.12.2013;05513;    Gelsenkirchen, krfr. Stadt;5;1752;1;318;-;-;4;1434
31.12.2013;05515;    Münster, krfr. Stadt;9;3732;2;1704;-;-;7;2028
31.12.2013;05554;    Borken, Kreis;8;1916;-;-;1;40;7;1876
