GENESIS-Tabelle: 23111-01d
Anzahl der Krankenhäuser und aufgestellte Betten nach Art;;;;;;;;;;
der Träger - kreisfreie Städte und Kreise - Stichtag;;;;;;;;;;
Grunddaten der Krankenhäuser;;;;;;;;;;
;;;Träger;Träger;Träger;Träger;Träger;Träger;Träger;Träger
;;;Insgesamt;Insgesamt;Öffentliche Träger;Öffentliche Träger;Private Träger;Private Träger;Freigemeinnützige Träger;Freigemeinnützige Träger
;;;Krankenhäuser;Aufgestellte Betten in Krankenhäusern (Jahresdurchschnitt);Krankenhäuser;Aufgestellte Betten in Krankenhäusern (Jahresdurchschnitt);Krankenhäuser;Aufgestellte Betten in Krankenhäusern (Jahresdurchschnitt);Krankenhäuser;Aufgestellte Betten in Krankenhäusern (Jahresdurchschnitt)
;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
31.12.2021;05112;    Duisburg, krfr. Stadt;7;4360;-;-;3;2203;4;2157
31.12.2021;05113;    Essen, krfr. Stadt;11;4947;3;1593;1;19;7;3335
31.12.2021;05114;    Krefeld, krfr. Stadt;4;2009;-;-;2;1306;2;703
31.12.2021;05116;    Mönchengladbach, krfr. Stadt;5;1991;2;786;-;-;3;1205
31.12.2021;05117;    Mülheim an der Ruhr, krfr. Stadt;2;771;-;-;-;-;2;771
31.12.2021;05119;    Oberhausen, krfr. Stadt;3;1211;-;-;1;199;2;1012
31.12.2021;05120;    Remscheid, krfr. Stadt;3;1009;-;-;1;431;2;578
31.12.2021;05122;    Solingen, krfr. Stadt;4;905;1;479;-;-;3;426
31.12.2021;05124;    Wuppertal, krfr. Stadt;4;2124;-;-;1;996;3;1128
31.12.2021;05154;    Kleve, Kreis;7;1685;1;312;-;-;6;1373
31.12.2021;05158;    Mettmann, Kreis;11;2221;1;380;3;654;7;1187
31.12.2021;05162;    Rhein-Kreis Neuss;8;2040;3;1157;-;-;5;883
31.12.2021;05166;    Viersen, Kreis;6;1343;3;586;1;254;2;503
31.12.2021;05170;    Wesel, Kreis;7;2788;-;-;-;-;7;2788
31.12.2021;053;  Köln, Regierungsbezirk;80;24988;18;10503;15;2135;47;12350
31.12.2021;05313;    Aachen, krfr. Stadt;-;-;-;-;-;-;-;-
31.12.2021;05314;    Bonn, krfr. Stadt;10;4207;2;2053;3;470;5;1684
31.12.2021;05315;    Köln, krfr. Stadt;23;6923;6;2954;1;85;16;3884
31.12.2021;05316;    Leverkusen, krfr. Stadt;2;915;1;569;-;-;1;346
31.12.2021;05334;    Städteregion Aachen (einschl. Stadt Aachen);8;3638;2;2061;2;444;4;1133
31.12.2021;05354;    Aachen, Kreis;-;-;-;-;-;-;-;-
31.12.2021;05358;    Düren, Kreis;6;1808;2;874;-;-;4;934
31.12.2021;05362;    Rhein-Erft-Kreis;8;1333;-;-;2;189;6;1144
31.12.2021;05366;    Euskirchen, Kreis;3;1221;1;617;-;-;2;604
31.12.2021;05370;    Heinsberg, Kreis;4;974;1;187;-;-;3;787
31.12.2021;05374;    Oberbergischer Kreis;6;1495;1;941;4;311;1;243
31.12.2021;05378;    Rheinisch-Bergischer Kreis;4;1184;2;247;-;-;2;937
31.12.2021;05382;    Rhein-Sieg-Kreis;6;1290;-;-;3;636;3;654
