;;;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl;Anzahl
31.12.2015;05334;    Städteregion Aachen (einschl. Stadt Aachen);9;3998;2;2141;1;99;6;1758
31.12.2015;05362;    Rhein-Erft-Kreis;8;1427;-;-;2;169;6;1258
31.12.2015;05374;    Oberbergischer Kreis;4;1557;1;970;1;194;2;393
31.12.2015;05378;    Rheinisch-Bergischer Kreis;5;1172;2;260;-;-;3;912
31.12.2015;05382;    Rhein-Sieg-Kreis;8;1468;-;-;2;566;6;902
31.12.2015;05954;    Ennepe-Ruhr-Kreis;7;1895;-;-;1;401;6;1494
31.12.2015;05958;    Hochsauerlandkreis;11;2099;4;1088;1;54;6;957
31.12.2015;05962;    Märkischer Kreis;11;2852;5;1542;2;162;4;1148
31.12.2014;05;Nordrhein-Westfalen;364;120268;80;38052;40;8134;244;74082
31.12.2014;05162;    Rhein-Kreis Neuss;7;2058;3;1204;-;-;4;854
31.12.2014;05334;    Städteregion Aachen (einschl. Stadt Aachen);10;4026;2;2121;2;147;6;1758
31.12.2014;05362;    Rhein-Erft-Kreis;8;1394;-;-;2;169;6;1225
31.12.2014;05374;    Oberbergischer Kreis;4;1571;1;973;1;194;2;404
31.12.2014;05378;    Rheinisch-Bergischer Kreis;5;1172;2;260;-;-;3;912
31.12.2014;05382;    Rhein-Sieg-Kreis;9;1518;-;-;2;566;7;952
31.12.2014;05954;    Ennepe-Ruhr-Kreis;7;1894;-;-;1;401;6;1493
31.12.2014;05958;    Hochsauerlandkreis;11;2095;4;1088;1;54;6;953
31.12.2014;05962;    Märkischer Kreis;12;2931;5;1543;2;153;5;1235
31.12.2013;05;Nordrhein-Westfalen;370;120247;81;37707;42;8095;247;74445
31.12.2013;05162;    Rhein-Kreis Neuss;7;2036;3;1185;-;-;4;851
31.12.2013;05334;    Städteregion Aachen (einschl. Stadt Aachen);10;3880;2;1975;2;147;6;1758
31.12.2013;05362;    Rhein-Erft-Kreis;8;1375;-;-;2;150;6;1225
31.12.2013;05374;    Oberbergischer Kreis;4;1548;1;972;1;194;2;382
31.12.2013;05378;    Rheinisch-Bergischer Kreis;5;1172;2;260;-;-;3;912
31.12.2013;05382;    Rhein-Sieg-Kreis;9;1524;-;-;2;566;7;958
31.12.2013;05954;    Ennepe-Ruhr-Kreis;8;2068;-;-;1;401;7;1667
31.12.2013;05958;    Hochsauerlandkreis;11;2067;4;1088;1;54;6;925
